stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,20.43,4.09,0,40.86,4.09,0,0,0,0,0,0,0,8.17,0,0,0,0,0,36.78,81.73,81.73,0,0,0,65.38,580.27,0,0,12.26,0,0,0,0,0,8.17,0,0,0
72hpf,10.7,11.77,0,39.58,7.49,6.42,0,3.21,0,0,1.07,0,0,1.07,0,6.42,0,26.74,84.51,16.05,73.82,0,0,0,209.68,124.1,3.21,0,52.42,2.14,0,12.84,2.14,0,6.42,0,0,0
21Day,24.09,8.03,1.34,176.69,4.02,26.77,0,13.39,0,0,0,0,0,8.03,0,14.72,5.35,16.06,115.11,22.76,149.92,0,14.72,0,58.9,18.74,8.03,5.35,81.65,24.09,1.34,8.03,4.02,6.69,2.68,1.34,0,16.06
3Month,0,0.32,0,4.48,0.32,0,0,0,0,0,0.32,0,0,5.76,0.64,0,0.32,1.92,1.28,2.24,6.08,2.56,1.6,0.64,0.32,0,0.96,0,0.32,0,8.64,0,0,0,0,2.88,0.32,0.32
22Month,0,4.92,0,10.93,0,0,0.55,1.09,0.55,1.64,8.2,5.47,0,78.17,0.55,1.09,5.47,0,1.09,4.37,21.87,1.64,0.55,0,0,0,0.55,1.09,2.19,0.55,3.28,0.55,0,0,0.55,0,0,1.09
