stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,8.17,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,5.35,2.14,0,0,0,0,0,0,0,1.07,0,2.14,0,0,68.47,12.84,0,1.07,3.21,0,0,0,0,0
21Day,0,0,1.34,4.02,1.34,0,0,0,0,0,0,0,1.34,0,1.34,0,0,41.49,10.71,0,0,0,4.02,1.34,0,0,0
3Month,0,0.32,0,3.52,0,0.32,0.32,2.56,13.12,0.32,0,0,0.32,0.64,1.92,0,0.32,1.6,0,0,0,0,0,10.24,0.32,21.44,0.96
22Month,0.55,0.55,0,3.83,0,0,0.55,4.92,1.64,0,1.64,0,0.55,0.55,2.19,0.55,0,0,0,1.64,0,0,0,2.73,1.09,0,0.55
