stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,1.07,0,0,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,12.05,0,0,0,0,0,2.68,0,5.35,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0.96,0.32,16.64,0.32,1.92,7.36,0.64,0.32,5.12,0.32,16.96,1.6,1.92,0.32,0.64,0,0,0.32,1.28,0.32,0.64,0.64
22Month,2.19,0.55,0.55,2.73,0,2.19,16.95,1.09,0,5.47,0,1.09,0.55,0.55,0,0,0.55,0.55,0,0.55,0,0,1.09
