stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,8.17,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,57.21,196.15,0,0,8.17,0,0,0,0,0,0,0,0
72hpf,103.77,16.05,49.21,8.56,77.02,0,1.07,4.28,2.14,1.07,0,1.07,0,19.26,132.65,8.56,104.84,0,4.28,4.28,12117.52,318.8,3.21,21.4,133.72,2.14,0,74.89,6.42,13.91,11.77,0,0
21Day,26.77,1.34,41.49,1.34,18.74,0,2.68,1.34,0,1.34,0,12.05,9.37,0,8.03,8.03,112.44,1.34,0,8.03,1934.18,34.8,6.69,10.71,36.14,46.85,0,10.71,4.02,20.08,4.02,0,5.35
3Month,0.32,0.96,0.64,0,0,0.32,0,0.32,0,0.96,1.28,0,0.96,0.32,0.32,0,5.12,1.6,0,0,1.92,0,1.28,0.64,0.32,0,0.96,0.32,0,0,0,1.28,0
22Month,0,0,0,0,0,0,0,0.55,0,5.47,1.09,0.55,0,0,0,2.19,4.92,0,0,0,6.01,0,2.73,0,0,0,2.73,2.19,0,0,0.55,0,0
