stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,3.21,0,2.14,0,0,0,0,0,0,0,1.07,0,2.14,0,0,0,11.77,2.14,3.21,0,0,0
21Day,5.35,0,2.68,1.34,0,0,0,1.34,0,0,1.34,0,4.02,0,4.02,0,4.02,2.68,1.34,0,0,0
3Month,0,0.32,2.88,0,0,0.32,1.28,13.76,0,0,0.32,2.88,3.2,1.6,0.32,0.64,0.32,0.32,0,0.64,0.32,0.96
22Month,0,1.64,0,0,0.55,0,1.64,6.56,0.55,1.09,0,0,1.09,0,0.55,0,0,0,0,0,0,0
