stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,12.26,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,20.43,53.12,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,10.7,0,0,0,0,10.7,3.21,0,0,12.84,0,0,0,0,0,0
21Day,5.35,1.34,0,6.69,0,6.69,0,4.02,0,1.34,0,0,0,2.68,2.68,5.35,1.34,8.03,26.77,0,0,4.02,0,2.68,1.34,0,1.34,10.71,0,0,2.68,0,0,5.35
3Month,0,2.24,0.64,7.68,0.64,0,0,0,0.32,1.6,0,10.56,0.64,0,53.75,0.64,1.6,2.56,5.12,0.32,0,1.6,0.32,0.32,0,0.32,0.32,0,0.96,4.8,0,3.84,2.24,4.16
22Month,0,1.09,0,2.73,0,0,1.09,0,0,2.19,4.37,33.89,0.55,0.55,37.17,0.55,0.55,6.01,8.2,0,1.09,0.55,0,0,0.55,0.55,0,0.55,0,2.73,0.55,0.55,0,1.64
