stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,20.43,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,10.7,0,1.07,0,1.07,1.07,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,0.32,0,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0
22Month,2.73,0.55,2.19,0,3.83,1.64,11.48,1.09,0.55,1.09,0,0,1.09,1.09,1.09,0,0,0,284.81,0.55,0,0.55,0.55,0.55
