stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.95,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,1.07,0,0,0,2.14,0,0,2.14,0,0,0,7.49,1.07,0,0,0,2.14,0,0,0,2.14,0,0,0,1.07,0,1.07,0,0,0
21Day,0,0,1.34,4.02,2.68,0,8.03,0,12.05,1.34,2.68,49.53,0,1.34,1.34,20.08,1.34,1.34,2.68,0,8.03,2.68,0,0,2.68,0,0,0,0,0,0,0,0,34.8
3Month,0,0.32,5.12,0.64,0,0.96,1.6,1.6,61.43,8.64,83.51,6.72,4.16,1.6,3.2,59.83,2.24,0,0.96,1.28,0,0.32,0.64,0,0.64,1.28,0.32,3.84,0,0,0,0.96,3.84,66.23
22Month,1.09,0,0.55,0.55,0,0.55,1.09,0.55,60.68,18.59,21.87,8.2,1.64,0,1.09,32.8,2.19,0.55,0,0,0,0.55,0,0.55,0,0,0.55,0.55,0,0.55,0,0,0,14.76
