stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,0,0,0,0,4.09,36.78,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,4.28,0,0,2.14,1.07,0,0,0,0,0,0,0,0,0,2.14,13.91,0,9.63,0,0,1.07,0,28.88,8.56,0,0,0,6.42,0,0,0,2.14,0,0,0
21Day,2.68,0,0,9.37,0,2.68,0,1.34,0,0,1.34,0,1.34,0,1.34,5.35,1.34,12.05,0,0,0,0,16.06,5.35,0,0,0,4.02,1.34,0,0,0,0,0,1.34
3Month,0.64,4.8,2.88,25.6,0,0,0,6.4,3.52,0,25.28,4.16,0,16.64,2.56,8,5.76,10.24,2.56,0,2.56,2.24,1.92,0.64,0.64,0.32,0,0.32,1.28,16,0.32,0.32,2.56,12.16,5.12
22Month,0,5.47,1.64,8.75,0,0,0.55,4.37,3.83,4.92,80.9,3.83,0,18.59,0,3.28,6.01,15.85,0,1.09,1.64,0,0.55,0,1.09,2.19,0.55,0,0.55,3.83,1.09,0,0.55,0,4.37
