stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
72hpf,4.28,3.21,1.07,1.07,0,0,0,0,0,0,0,0,0,2.14,0,5.35,0,504.94,16.05,0,3.21,6.42,0,0,4.28,139.07,143.35,1.07,0,0
21Day,4.02,2.68,13.39,0,2.68,0,0,0,2.68,0,4.02,2.68,1.34,9.37,1.34,6.69,0,135.19,12.05,1.34,2.68,5.35,4.02,1.34,2.68,183.38,495.26,6.69,0,2.68
3Month,0,0,2.24,0.32,0,0,0.32,0,5.12,0.64,0,0.96,0.32,0.32,1.28,0.96,0,2.24,0,0,0,0,0.64,25.92,0,0.96,0.32,0,14.4,0.64
22Month,0,0.55,1.09,0,0,0.55,2.19,0,30.61,0,0,1.09,0,0,1.09,0.55,1.09,2.19,0,0,0,0,0,20.23,2.73,27.88,0,0,0,0
