stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,0,0,0,1.07,14.98,1.07,0,0,0,0,6.42,0,0,0,0,0,0,1.07,0,0
21Day,10.71,0,4.02,1.34,0,0,0,0,0,0,1.34,0,5.35,42.83,1.34,0,0,1.34,0,6.69,0,0,0,1.34,0,0,0,1.34,9.37
3Month,0,0.64,3.52,0,0,0,0,0,6.08,0.64,0.32,1.28,1.92,118.7,0.96,0.96,0,0.32,0.96,0.32,0.32,0,0,0,0.32,3.2,0,0,18.56
22Month,0,0,1.09,0,0.55,0.55,2.73,1.64,17.49,1.09,0,2.19,0.55,38.81,1.64,0,1.09,0.55,0.55,0,0,0.55,0.55,0,1.09,0,0,0,12.57
