stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,4.09,0,8.17,0,8.17,85.81,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,6.42,1.07,0,2.14,1.07,0,0,0,1.07,0,2.14,12.84,0,21.4,1.07,99.49,58.84,0,0,11.77,0,0,6.42,0,0,0,0,0
21Day,5.35,1.34,1.34,14.72,9.37,1.34,0,0,9.37,0,2.68,4.02,1.34,20.08,0,18.74,14.72,1.34,1.34,5.35,2.68,2.68,1.34,1.34,1.34,1.34,0,4.02
3Month,0,0,0,0,0,0,0,0,0,0.32,0,0,0,0,0.32,0,0,0,0,0,0,0,0,0,0,0,0.32,0.32
22Month,0,0,0,0.55,0,0,0.55,9.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
