stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,4.09,12.26,0,4.09,0,0,0,0,0
72hpf,1.07,0,0,3.21,0,0,0,0,0,0,1.07,0,6.42,0,0,0,1.07,1.07,0,6.42,0,1.07,1.07,0,0
21Day,0,1.34,0,2.68,0,0,0,0,0,0,0,0,20.08,0,0,0,1.34,0,1.34,6.69,0,0,2.68,0,1.34
3Month,0,0.32,0,1.92,0.32,0,0.32,1.28,0.96,0,0,0.64,6.4,0.96,0,0.32,0,0.32,0.32,0,2.24,0,0,0.32,0.32
22Month,0,0,0.55,1.09,0,1.09,1.09,16.4,0,3.28,0,0,1.09,1.64,1.09,0,0,0,0,0,0,0,0,0.55,0
