stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,4.02,0,0
3Month,0,0.32,2.24,0.32,1.28,0.64,0,2.88,0.32,7.36,0.96,0,1.6,0.32,0,1.28,0.32,0,0,0,0,0,0.32,39.99,6.72,0.96
22Month,0,0,1.09,0,0.55,0,0.55,10.93,0.55,2.73,0,0.55,0.55,0,0.55,0,0,0.55,1.09,0.55,26.24,0.55,0,55.76,0,0
