stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,8.17,0,0,0,0,0,0,0
72hpf,0,3.21,0,0,0,0,0,0,0,1.07,0,0,7.49,0,0,13.91,3.21,4.28,0,0,1.07,1.07,0,0
21Day,1.34,1.34,0,0,0,0,0,0,0,0,2.68,1.34,38.82,0,1.34,12.05,0,2.68,1.34,0,0,0,0,2.68
3Month,0.32,0.96,0.32,0.96,0,1.92,0.32,0.64,1.28,0,1.28,0.32,22.72,0.96,0.32,0.32,0,0,0,3.2,0.32,0.32,7.04,0
22Month,0,0.55,0,1.64,0.55,8.2,0,0.55,1.09,0,0.55,0,3.83,0,0,0,0,0,0,3.28,0,0,0,0.55
