stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,28.6,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,2.14,7.49,1.07,0,0,0,0,0,0,0,1.07,1.07,1.07,0,1.07,0,44.93,6.42,0,0,3.21,0,0,0,1.07,0,1.07,0,0,0
21Day,0,0,0,4.02,4.02,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,14.72,1.34,0,0,0,0,2.68,0,1.34,1.34,0,0,0,0
3Month,0.64,0.32,0.64,46.07,3.84,0,0.64,1.92,2.24,20.8,2.56,5.76,4.16,5.12,0.96,3.2,0.64,1.28,0.64,7.36,0,6.4,0.64,0.32,1.6,67.19,0.96,0,0,0.32,1.6,736.2,2.88
22Month,0.55,0.55,0,13.67,0.55,0,0,0,2.73,10.39,0.55,0.55,0,0,1.09,1.64,0,0,0,1.09,0,4.92,0,0,0,34.44,0,0,0,0,0,2.73,0.55
