stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,0,0,1.07,0,10.7,1.07,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,14.72,0,1.34,0,0,0,0,0,8.03,4.02,0,9.37,5.35,1.34,0,0,2.68,0,4.02,0,0,0,0,0,0,1.34,0,0,9.37
3Month,0.64,1.28,2.88,23.68,1.28,0,11.52,2.24,0.32,11.84,3.2,0,111.66,0.96,2.56,4.16,6.72,2.24,0,1.92,4.48,0.32,0,0.64,0.64,0,0.64,2.56,0,0.64,0.32,6.72
22Month,0,5.47,8.75,23.51,0.55,0,23.51,14.21,2.73,21.32,7.11,6.01,119.72,2.19,2.73,22.96,7.65,0.55,2.19,7.11,0,0,0,2.19,1.64,0.55,0,0.55,0,1.09,0,23.51
