stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,8.17,0,0,0,0,0
72hpf,2.14,0,1.07,0,0,0,0,0,0,0,0,0,3.21,0,1.07,0,0,0,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,1.34,0,9.37,0,0,0,0,4.02,0,0,0
3Month,4.48,0.32,0.64,0.32,0.32,0.64,1.92,1.6,1.6,0.96,0,0.32,0.96,0.32,0.64,0,0.32,0.32,27.52,16,0.32
22Month,11.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37,0,0
