stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,24.52,0,0,0,4.09,130.76,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,4.28,0,0,0,5.35,4.28,1.07,0,0,4.28,1.07,0,3.21,0,0,0
21Day,1.34,1.34,6.69,1.34,0,0,0,0,0,0,0,1.34,1.34,0,0,0,5.35,0,0,0,1.34,0,1.34,0,0,1.34,0,0,0,0,0,0
3Month,0,0.64,14.4,0,0.32,0.32,0.32,0.96,0,16.96,0.32,1.6,2.24,0.96,2.88,1.28,1.92,0.64,0.32,0.32,0.32,0.32,0,0,0,0,0.64,4.48,0.32,1.28,2.24,0.64
22Month,0,0,0,0,0,0.55,0,0,0.55,5.47,0,0.55,1.09,0.55,0.55,1.09,0,0,0.55,0,0,0,0,0.55,0.55,0,0,0,0,0,0,0
