stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Smooth_muscle_cell
72hpf,0,0,0,0,0,0,1.07,1.07,0
21Day,4.02,0,0,0,1.34,1.34,0,0,0
3Month,0,0,0,0,0,1.92,0,0,0
22Month,0,2.19,0.55,0.55,0,1.64,0,0,0.55
