stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,9.37,0,1.34,4.02,0,0,0,0,0,1.34,0,0,1.34,1.34,4.02,0,0,0,1.34,5.35,1.34,0,0,0,2.68,2.68,0,1.34,0,0,0,1.34
3Month,0,2.56,1.92,39.35,0.96,0,0.64,23.36,2.88,0,41.27,5.44,0.32,29.44,3.2,12.8,11.84,8,0.96,0,4.8,2.88,1.6,0.32,2.24,0.32,0,0.32,0.64,4.8,0.64,0,2.56,1.6,20.8
22Month,1.64,12.03,1.09,49.75,1.09,0,0.55,18.04,14.21,12.57,400.7,4.37,3.28,34.99,3.28,6.56,34.44,29.52,1.09,4.37,4.92,0,0,0,2.73,1.09,1.64,0,0.55,11.48,1.64,0.55,0.55,0,6.56
