stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,40.86,4.09,0,0,0,4.09,0,0,0,0,0,0,0,0,12.26,53.12,12.26,0,0,16.35,24.52,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,6.42,3.21,0,7.49,0,0,0,0,0,0,0,2.14,0,2.14,24.61,4.28,1.07,0,0,7.49,2.14,0,0,2.14,0,0,0,0,1.07,0,0,0
21Day,1.34,1.34,5.35,0,10.71,0,8.03,0,0,0,0,5.35,13.39,0,0,2.68,2.68,5.35,0,1.34,1.34,0,0,0,0,1.34,0,0,0,0,0,0,2.68
3Month,0,9.92,16.96,0.32,0,0.96,0.96,0.64,37.43,0,8.32,39.35,1.28,4.8,0.96,4.8,13.12,8.32,1.92,2.88,0.64,0,0.32,0,0.64,0.64,0.32,3.2,0,0.32,3.52,2.56,8.96
22Month,0,14.76,7.11,0,0,0.55,0.55,0,69.97,1.64,19.68,37.72,4.37,2.73,0,2.19,26.24,10.39,1.09,0.55,0,0.55,0,1.09,0.55,0,0,1.09,2.19,0,0,0,9.29
