stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Primordial_germ_cell,T_cell
72hpf,0,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0
21Day,0,0,6.69,0,0,0,0,0,2.68,0,0,0,1.34,1.34,0,0,0
3Month,0,0.32,32.95,0,0.32,1.6,0.32,1.28,4.48,0,0.64,0,0.64,0,0,0.96,8.96
22Month,0.55,74.89,7.11,0.55,0.55,29.52,0.55,2.19,4.37,2.19,1.09,1.64,0,0,1.09,1.09,0
