stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,4.09,0,0,0,0,0,16.35,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,5.35,1.07,0,0,0,0,0,1.07,0,0,0,0,0,2.14,0,1.07,0,3.21,0,0,0,1.07,0,188.28,4.28,0,0,0,1.07,0,0,2.14,5.35,6.42,0,0
21Day,6.69,0,0,5.35,1.34,6.69,0,0,0,1.34,0,2.68,1.34,2.68,1.34,0,2.68,6.69,8.03,0,0,0,0,157.95,2.68,0,0,0,2.68,2.68,0,4.02,17.4,48.19,0,2.68
3Month,1.28,2.88,0,3.2,0.32,0,0.32,0,0.64,2.24,0.32,7.36,2.24,1.6,3.2,0.32,1.28,2.24,3.84,0.96,0,0,0.96,5.12,0.32,0.64,0.32,0,0.32,0,2.88,0,0,0.64,10.88,10.88
22Month,1.09,3.28,0.55,1.64,0,0,0.55,0,1.09,5.47,0,53.03,3.83,4.37,8.2,0,0,7.11,6.56,0,1.09,2.19,0,9.29,0,3.28,0.55,1.09,0,0,10.93,3.83,7.65,0,0,7.11
