stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Primordial_germ_cell,T_cell
21Day,1.34,0,1.34,2.68,0,0,0,30.79,0,0,0,0,0,2.68,0,4.02
3Month,0,0.64,0,0,0.32,0.64,0.32,0,0.32,0.32,2.88,0.32,0.64,0,0,4.16
22Month,0,0,0,0,0,0.55,3.28,0,0.55,0,3.28,0,0,0,0.55,1.09
