stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Primordial_germ_cell
72hpf,0,0,0,0,1.07,3.21,0,1.07,0
21Day,1.34,5.35,0,0,1.34,5.35,0,0,0
3Month,0,1.28,0.32,0.96,0,0,0.32,0,0.32
22Month,0,0,1.64,0.55,0,0,0,0,0
