stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,0,0,8.17,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,20.43,0,0,0,20.43,151.2,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,3.21,0,1.07,2.14,0,1.07,0,0,0,0,0,0,0,0,3.21,6.42,0,10.7,0,1.07,0,21.4,17.12,0,0,10.7,0,0,1.07,1.07,0,2.14,0,0,0
21Day,6.69,0,0,9.37,2.68,0,2.68,0,0,0,0,2.68,1.34,6.69,1.34,2.68,9.37,5.35,30.79,0,0,2.68,10.71,24.09,0,1.34,6.69,2.68,0,0,0,2.68,1.34,0,0,1.34
3Month,0,0.32,0,5.76,0,0.64,0.32,0,2.88,0,0,15.36,1.92,0,4.16,0,2.56,1.6,3.84,0.32,0,0.32,0.32,0,0,0.64,0.64,0.96,5.76,0,0.32,0,0,0.32,0.32,1.28
22Month,0,1.09,0.55,5.47,0,1.09,0,0.55,13.12,10.39,0,123.54,1.09,4.37,7.65,1.09,1.09,5.47,4.92,0.55,2.19,0.55,0,0,1.09,0.55,0,0,5.47,0.55,0,0,0,1.64,0,1.09
