stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,4.09,4.09,8.17,8.17,0,0,0,0,32.69,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,2.14,0,0,0,0,0,0,0,0,0,2.14,4.28,2.14,4.28,0,0,0,12.84,10.7,0,0,0,4.28,0,0,0,2.14,0,1.07,0,0,0
21Day,1.34,0,0,20.08,4.02,0,1.34,0,1.34,0,0,0,4.02,0,0,13.39,5.35,14.72,0,5.35,0,17.4,6.69,0,0,0,9.37,1.34,0,0,1.34,2.68,0,0,0,0
3Month,0.32,2.24,0.96,35.51,0,0.32,0.32,11.2,14.08,0,20.16,8.64,1.6,7.36,3.52,14.4,11.2,11.52,2.88,8.96,0.96,0.64,0,1.6,0.32,0,1.6,1.28,0.32,12.48,0.96,0,0,4.16,3.2,12.16
22Month,0.55,4.92,1.09,14.21,0,0,0,3.83,12.03,5.47,121.9,2.19,2.19,4.92,0,2.19,6.01,8.75,0.55,1.64,0,0.55,0.55,1.64,0.55,0.55,0.55,0,0,3.83,0.55,0,0,1.09,0,2.73
