stage,Cardiomyocyte,Epithelial_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,0,0,4.09,0,0,4.09,0,28.6,0,0
72hpf,0,0,0,1.07,0,0,3.21,4.28,0,1.07
21Day,1.34,1.34,0,0,1.34,5.35,2.68,2.68,1.34,0
