stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,4.09,57.21,0,0,0,0,0,0,0,0,0,0
72hpf,35.3,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,1.07,1.07,0,16.05,33.16,0,0,1.07,0,0,3.21,1.07,0,0,0
21Day,44.17,0,0,5.35,0,0,0,1.34,0,0,0,0,2.68,0,6.69,0,0,6.69,8.03,1.34,0,2.68,2.68,1.34,1.34,1.34,2.68,0,0
3Month,1.6,1.28,0.32,0.32,0,0.32,0.32,1.6,1.92,0.64,0.32,0.32,0.64,0,1.28,0,0.64,0,0,0,0,0,0.64,68.79,0,0,0,6.4,0.64
22Month,0,0,0,1.09,0,0,0.55,6.56,0,0,0.55,0,0,0.55,0.55,0,0,0,0,0,0.55,0,0,16.4,0,0,0,0,0
