stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,49.04,0,0,0,0,0,0
72hpf,1.07,1.07,1.07,1.07,0,0,0,0,3.21,7.49,0,201.12,44.93,0,1.07,4.28,0,3.21,1.07
21Day,5.35,0,4.02,0,1.34,0,0,0,0,5.35,1.34,66.93,8.03,1.34,1.34,2.68,1.34,2.68,0
3Month,0,0,0,0,0,0.32,0,0,0,0,0,0.32,0,0,0.32,0,0,0,0
22Month,0,1.09,1.64,0,0,4.37,0.55,1.09,0,0,0,0,0,0,0,0,0,0,0
