stage,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Neural_progenitor_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0
72hpf,0,0,0,0,0,0,1.07,0,0
3Month,0.32,0.32,0.64,0,0.32,0.32,0,1.92,0.32
22Month,0,0,1.09,0.55,0,0,0,0,0
