stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,T_cell
72hpf,1.07,0,0,1.07,1.07,1.07,0,2.14,14.98,14.98,1.07,3.21,1.07,0
21Day,1.34,1.34,4.02,0,0,0,1.34,4.02,4.02,2.68,0,0,0,1.34
