stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,1.07,0,0,0,0,5.35,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,6.69,0,0,0,0,0,2.68,1.34,1.34,1.34,0,1.34,0,0,4.02,2.68,0,0,0,0,0,0,1.34
3Month,0,0.32,7.04,0.32,0.64,0.32,7.68,1.6,0,1.6,1.28,2.56,1.28,0.96,0,1.28,0.64,0,0,0,0.64,1.28,0.32,0.64,0.96
22Month,0,0,3.83,1.09,1.64,1.64,17.49,1.09,2.73,3.28,0,0.55,2.73,2.19,0,0,0,0,0.55,0.55,0,0.55,0,0,1.09
