stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,1.07,0,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,1.34,0,0,0,0,0,41.49,1.34,1.34,0,105.74,4.02,0,0,2.68,4.02,2.68,0,0,0,1.34,0,0,1.34,0,0,56.22
3Month,0,0.32,0,2.24,0,0.96,0.32,0.32,18.24,1.92,0.32,1.92,0,0.64,53.11,3.2,0.32,0,6.4,0,0,0,0,0,0,3.84,0.32,0,8.64,1.92,12.8
22Month,0,4.37,1.64,7.11,0,3.83,5.47,2.73,954.46,1.64,1.64,7.65,0.55,0,56.31,8.2,0.55,18.04,2.73,0.55,0,1.09,2.19,0,0,2.19,0.55,1.09,0.55,0,12.03
