stage,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,7.49,8.56,1.07,1.07,0,0
21Day,0,0,2.68,0,0,0,0,0,1.34,0,1.34,0,6.69,5.35,0,1.34,0,0
3Month,0,0.32,0,0,0,1.28,0,0.32,0,0,0,0,0,0,0,0,0.32,0.32
22Month,0.55,0,0,0.55,1.09,16.95,0.55,1.64,0,2.19,2.19,0.55,0,0,1.09,0,0,1.64
