stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,2.14,0,0,0,0,0,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,5.35,0,0,1.34,1.34,0,1.34,2.68,8.03,8.03,0,0,2.68,1.34,0,1.34,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,20.08
3Month,0,0.64,8,48.31,1.92,0,34.55,30.4,0.32,116.14,97.58,4.8,138.54,1.6,2.24,35.51,4.8,0.64,0.32,2.56,6.72,0.96,0,7.04,1.28,0,0.32,2.56,0.32,2.24,0.96,0.32,1.92,3.2,159.65
22Month,0,1.09,6.01,22.41,0.55,0.55,19.68,82,0.55,156.89,97.85,6.01,122.45,1.09,0.55,25.69,4.37,0.55,2.19,2.73,0,0,0,8.75,1.09,0.55,0,0.55,0,0.55,0,0.55,0,0,47.56
