stage,Endothelial_cell,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,2.14,1.07,0,0,0,10.7,0,0,2.14,1.07,0,0,1.07,0,0
21Day,0,6.69,0,0,0,0,0,1.34,0,0,4.02,2.68,1.34,0,0,4.02,1.34,2.68,4.02,0,0,0,0,0,4.02
3Month,0.64,5.76,0.32,1.92,4.48,1.6,1.6,0,7.04,0.96,1.92,3.52,0.32,0,0.64,0,0,0.96,0,0.32,1.28,0.32,0,4.16,3.2
22Month,0,1.64,0,0,12.03,2.19,1.64,0,0,0,0,7.65,1.09,0.55,0,0,0,0.55,0,0,0,0,0,0.55,1.09
