stage,Cardiomyocyte,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,4.09,0,0,4.09,0,0,0
72hpf,0,0,0,0,12.84,0,1.07,0,0,0,0
21Day,1.34,0,0,0,5.35,0,1.34,0,0,0,0
3Month,0,0.32,0.32,0,0,0.32,0,0,0,0.32,0.32
22Month,0,4.37,0,0.55,0,0,0,0,0.55,0,0
