stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,T_cell
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,32.09,0,0,0,0
21Day,2.68,0,0,0,0,0,0,0,0,0,0,0,1.34,12.05,0,0,0,0
3Month,0,1.28,0,0.32,0.64,0,0.96,0.32,0,0.32,1.28,0,0.32,0.32,0,1.28,0.32,0.32
22Month,0,1.64,0,0.55,2.19,1.64,31.16,0.55,1.09,2.73,1.09,2.19,2.19,0,0.55,1.09,0.55,0
