stage,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
3Month,0,0,0,0.32,0.32,0,0,0.32,0.32,0,0.32
22Month,1.09,0.55,2.73,5.47,0,0.55,1.09,0,0.55,0.55,0
