stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0
72hpf,11.77,0,0,1.07,0,0,0,0,0,3.21,0,4.28,0,2.14,4.28,0,0,0,0,1.07,0
21Day,22.76,0,0,1.34,1.34,0,2.68,0,0,10.71,0,5.35,0,1.34,0,0,1.34,2.68,0,0,0
3Month,0,0.32,0.32,2.24,0,0,1.6,0.32,0.64,2.88,0,0,0.32,0,0.32,0,0,0,4.16,0,0.32
22Month,0,0,0.55,0,0,0.55,12.57,0,1.09,4.37,0.55,0,0,0,0,0.55,0,0,8.2,0,0
