stage,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,0,0,0,32.69,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0
3Month,0.32,0,5.76,0,2.56,0,1.6,3.84,0.32,0,0,0,0.32,0,0
22Month,1.64,0.55,68.33,2.73,2.19,2.19,0,21.87,0,1.09,0.55,0.55,1.09,0,0.55
