stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,8.03,0,0
3Month,0,0.32,0.32,0,0,0.32,0,0,0.64,0,1.6,0,0
22Month,1.64,1.64,0.55,0.55,26.24,0,3.83,2.73,0.55,0,0.55,0.55,0.55
