stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0
21Day,1.34,0,0,0,0,0,0,0,1.34,0,6.69,0,10.71,0,0,0,0,1.34,0,0,0,1.34,1.34,0,0,0,0
3Month,0,2.56,45.11,0.32,28.48,14.08,7.04,2.24,0.64,13.12,20.8,0.64,45.43,2.56,0.32,0,0.64,24.64,0.32,0.32,0.32,2.56,0,0,0.96,2.56,3.2
22Month,0,3.28,13.12,0,18.04,4.37,38.81,0,0,13.12,6.56,0.55,6.56,1.09,0,1.09,0,0.55,0.55,0,0.55,1.64,0,0.55,0,0,0.55
