stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,2.14,2.14,1.07,0,0,0,0,0,0,0,0,2.14,2.14,10.7,1.07,0,0,0,1.07,0,2.14,0,0,0,1.07,0,0,0,0,0,0,0
21Day,0,0,0,17.4,5.35,0,0,0,0,0,0,0,0,1.34,0,8.03,1.34,0,0,0,0,0,0,1.34,0,0,0,0,2.68,0,1.34,0,0,0,1.34
3Month,0.64,1.6,0.96,186.21,7.04,0,0.96,0.64,12.8,0.96,16.96,5.76,0.32,6.08,3.2,17.28,22.4,30.72,10.56,0,3.84,2.56,0.96,0.32,0.64,0.32,0,0.32,1.92,8.96,0,0.32,2.24,8.64,4.48
22Month,0.55,0.55,1.09,24.6,3.83,0,0.55,0,24.6,28.43,93.48,1.09,1.64,12.03,0.55,4.37,23.51,47.56,1.09,2.19,1.64,0,1.09,0,2.19,0.55,0.55,0.55,0,5.47,0.55,0,0,0.55,1.09
