stage,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,1.07,1.07,0,0,1.07,0,1.07,0,0,0,11.77,1.07,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,1.34,10.71,0,4.02,0,0,0,0
3Month,0.32,0,0,0.32,0,0.64,0,0.32,0,0,0,0,1.92,0.32,2.24,0.32,0.32
22Month,0,0,2.19,0,0,0,0,0,0.55,1.09,0,0,2.19,0,2.73,0,0
