stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,57.21,4.09,0,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,9.63,0,5.35,0,66.33,23.54,0,3.21,14.98,0,0,2.14,0,0,0,0,0,0
21Day,1.34,0,1.34,6.69,0,2.68,0,2.68,0,0,0,0,2.68,0,1.34,2.68,1.34,0,0,14.72,0,70.94,0,120.47,4.02,0,6.69,6.69,1.34,1.34,14.72,2.68,6.69,0,0,0,0
3Month,21.76,1.6,0.96,14.08,0.96,0,0,0.96,0,0,0.64,0,12.8,2.88,0.64,2.24,0.32,4.16,2.88,52.15,2.24,1.92,0.64,41.27,1.28,5.44,1.28,0,1.28,35.19,94.39,0.96,0,0.32,0.64,29.76,1.92
22Month,8.2,2.73,1.09,4.92,0,0,0.55,0.55,0.55,0.55,6.56,1.09,34.99,7.11,3.28,8.2,0,1.09,7.11,18.04,0.55,13.12,0,25.15,0.55,1.09,1.09,0.55,0.55,21.87,317.06,16.4,0,0.55,0,0,1.64
