stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,3.21,0,2.14,1.07,0,9.63,7.49,1.07,0,0,0,2.14,1.07,0,0,0
21Day,0,0,4.02,1.34,1.34,0,0,0,0,0,0,4.02,0,1.34,0,0,5.35,0,1.34,1.34,1.34,0,0,0,0,0,0
3Month,0,0,2.88,0,0,0.32,0.64,4.48,0.32,0,2.56,0.32,0.32,0.32,0,3.2,0,0,0,0.32,0.64,1.28,0,0,0.32,0.64,0.32
22Month,0,1.09,1.64,0,0,0,3.28,6.01,0.55,0.55,1.64,0,1.64,1.64,0,0,0,0,0,0,0,0.55,0,0,0,0,0
