stage,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Muscle_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,5.35,0,0,0,0,0,0,0,0,0
21Day,4.02,5.35,0,0,0,0,1.34,0,1.34,0,0
3Month,0.64,0,0,0,0.32,0,0,0,0,2.56,0.32
22Month,1.09,0,0.55,5.47,0,0.55,0,1.09,0,1.64,0
