stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,2.14,0,0,1.07,0,0,1.07,0,0,0
21Day,44.17,0,5.35,0,0,0,0,0,0,1.34,1.34,2.68,0,0,2.68,0,1.34,0,0,0,1.34,0,0,0,0,0,0
3Month,65.27,0.32,5.44,1.6,1.6,5.44,2.88,3.52,0.64,0.64,1.28,8,1.28,0.32,1.6,128.62,0,0.32,2.88,0.96,0.32,1.28,2.56,1.28,1.28,0.64,0.96
22Month,6.01,0.55,0,0,0,3.83,12.57,0,0.55,0,0,0.55,0,0.55,0.55,7.65,0,0,8.2,0.55,0,0,1.09,0.55,0,0,0
