stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neurosecretory_cell
21Day,0,1.34,0,0,0,1.34,1.34,0
3Month,0,0,0.32,0,0.96,0,0.64,0
22Month,0.55,1.64,6.56,1.09,1.64,2.19,0,0.55
