stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,220.67,0,0,0,0,0,0,0,0,0,0,0,81.73,0,8.17,0,0,0,0,0,49.04,0,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,10.7,72.75,0,132.65,0,3.21,0,0,0,0,0,0,0,0,2.14,130.51,1.07,205.4,0,0,29.95,0,32.09,27.81,1.07,0,0,6.42,0,0,0,0,0,0,0,0
21Day,18.74,12.05,1.34,84.33,0,4.02,0,1.34,1.34,1.34,1.34,0,61.57,0,0,21.42,4.02,12.05,0,1.34,113.78,0,13.39,5.35,0,0,0,4.02,5.35,0,1.34,0,5.35,0,0,1.34
3Month,3.84,23.36,0,115.18,1.6,0,1.6,0,0.96,2.88,7.04,3.2,13.44,2.56,1.92,65.91,8.64,18.24,0.64,0,10.24,1.28,0.32,0,0.96,0.64,0,0,1.28,4.16,0,0,0,0.96,0.32,1.28
22Month,0,48.65,0,21.32,0,0,0,2.19,0,1.64,16.95,1.64,53.57,1.64,0,16.4,21.32,8.2,0,0.55,10.93,0,0,0,1.09,0.55,0.55,0,0,8.2,0,0.55,0,0,0,0.55
