stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,1.07,0,5.35,0,0,0,0,5.35,5.35,0,0,7.49,0,0,2.14,1.07,0,0,0
21Day,4.02,0,5.35,1.34,0,0,0,0,0,0,1.34,0,0,0,0,22.76,0,0,2.68,0,2.68,8.03,4.02,0,4.02,1.34,0,0,0,1.34,0,0
3Month,0.32,1.6,1.92,0,0.64,0.64,0.96,0,2.56,0.96,0.32,0.32,0.32,4.8,0.96,23.68,3.84,0,1.92,0.32,0.64,0,1.6,0.96,0.32,0.32,3.84,0,0.32,2.88,0.64,0.32
22Month,0,1.09,1.09,0,0,0,1.09,1.09,8.75,0,0,1.64,0,0,2.19,24.05,1.09,0.55,0.55,0,0,0,0,0,0,0,1.64,0,0,0.55,0,0.55
