stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Oligodendrocyte,Pancreatic_macrophage,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,1.07,1.07,0,0,0,0,0,0,0,1.07,0,1.07,22.47,0,0,0,1.07,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,0,1.34,25.43,0,0,0,0,0,0,0
3Month,0,0.96,0,0,0.32,0.96,0,2.88,2.88,1.28,0.64,0.96,0.64,0,0,0.32,0.64,0,0.32,2.88,0.96
22Month,0.55,3.83,0,0.55,0,1.09,1.64,62.32,2.19,1.09,0.55,0.55,2.73,0,0.55,0,0.55,0,0,0,1.09
