stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,0,0,0,0,0,0,8.56,1.07,0,18.19,0,3.21,7.49,1.07,0,0,4.28,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,0,0,1.34,0,6.69,0,9.37,5.35,0,0,1.34,0,0,0,0,1.34
3Month,0.96,0.64,8.32,0.32,6.72,0.64,0,4.48,0.32,2.88,0,0,0.32,3.52,0.32,23.68,0,0.32,0.32,0,0,0.32,0.64,0.32,9.92
22Month,2.73,7.11,9.84,0,7.11,1.09,2.19,8.2,0,15.31,0,0,1.64,3.28,0,14.21,0,0,0.55,0,0,1.09,1.64,0.55,2.73
