stage,Cardiomyocyte,Erythroid_progenitor_cell,Immune_progenitor_cell,Macrophage,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Retinal_pigment_epithelial_cell
72hpf,1.07,0,0,0,7.49,0,0,1.07
21Day,0,1.34,12.05,0,1.34,1.34,1.34,0
3Month,0,0,0,0.64,0,0,0,0
