stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Macrophage,Muscle_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,1.07,0,0,0,0,1.07,0,0,0
21Day,1.34,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.64,1.6,0.64,0,1.28,10.24,0,0.64,0,0,0,0.64,0.32,0.96,0
22Month,3.83,4.92,2.73,0.55,3.83,72.16,0,0,0.55,0,0.55,0,1.09,0,1.09
