stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,57.21,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,1.07,0,0,0,1.07,0,6.42,0,0,0,14.98,12.84,0,1.07,1.07,1.07,2.14,0,0,0
21Day,4.02,0,1.34,8.03,2.68,0,2.68,0,0,0,0,0,1.34,4.02,1.34,9.37,0,0,1.34,6.69,9.37,0,8.03,0,0,1.34,1.34,0,0
3Month,0,0,0,6.08,0,0,0,1.28,0,10.24,1.6,0.96,2.56,1.92,1.6,2.24,0.64,0,0.64,0.32,0,1.28,0.32,0.64,3.52,0,0,0.64,1.28
22Month,0,1.64,0,0.55,0,0.55,0,4.92,0.55,35.53,1.09,0.55,7.11,0,2.73,2.19,0,1.64,0,0,0,0,0.55,0,0.55,0,0,0,1.64
