stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,12.26,8.17,65.38,4.09,0,0,0,0,0,32.69,0,0,0,0,32.69,28.6,24.52,151.2,4.09,0,4.09,36.78,1254.53,36.78,0,0,0,0,8.17,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,3.21,1.07,0,0,12.84,32.09,5.35,0,0,2.14,1.07,0,0,0
21Day,1.34,0,6.69,0,26.77,8.03,0,0,0,0,1.34,0,2.68,1.34,0,1.34,1.34,2.68,0,0,0,4.02,12.05,2.68,0,0,0,1.34,0,0,1.34
3Month,0,0,0,0,0,0,0.64,0,0,0,2.56,0.32,0,0.64,0,0,0.32,0,0,0.32,0.32,0,0,0,0,6.08,0,0,0,0.32,0
22Month,0,0,1.09,0,0,0.55,0,0.55,0.55,0,1.09,0,0.55,2.19,0,0,3.83,0.55,0,0,0,0.55,0,0,0.55,0.55,0,0,0,0,0
