stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte
72hpf,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,1.07,1.07,0,0,0
21Day,1.34,0,0,0,0,0,1.34,0,0,1.34,0,1.34,0,0,0,0,0,0
3Month,1.28,0,0,0,0.32,2.56,0,1.28,0,0.32,0.64,0.32,0.32,0,0,0.32,4.8,4.16
22Month,0,0.55,0.55,0.55,16.4,8.2,0,1.64,0,0.55,0.55,2.19,0,0,0,0,0,0
