stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,1.07,0,1.07,0,0,0,0,0,3.21,6.42,0,6.42,0,0,394.75,154.05,2.14,1.07,2.14,0,0,3.21,24.61,12.84,1.07,0,0
21Day,1.34,1.34,0,4.02,1.34,0,0,0,0,0,0,0,0,0,0,4.02,0,0,109.76,38.82,0,1.34,1.34,4.02,0,4.02,16.06,37.48,0,0,1.34
3Month,0,0,0.32,0,0,0.64,0,0.32,0,0.96,0.64,1.28,0,0.32,0,0.96,0,0.32,0,0,0,0,0,0.64,0,0.96,0,0,0,0.32,0
22Month,0,0.55,0,0,0,0,0,0.55,0.55,9.84,0,3.28,0,0,0.55,0,0.55,0,0,0,0.55,0,0,0,1.09,13.12,1.09,0,0,0,0
