stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,77.64,4.09,0,0,0,12.26,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0
21Day,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0,12.05,1.34,0,1.34,1.34,1.34,0,0,0,0,0,1.34,0,0,0
3Month,0,0,0.96,0.64,0.32,0.32,15.36,0,5.12,1.28,0,1.28,2.24,0.64,96.3,1.92,0,2.56,0.32,0,0.32,0,0.64,2.56,0,0,0.64,0.32,1.28
22Month,1.64,1.09,2.19,0,0,0,40.45,1.09,136.66,6.01,1.09,1.09,0.55,0,154.7,2.19,2.19,0,0,0,0,3.83,0.55,0.55,0,0,1.64,0,0
