stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,8.17,0,0,69.47,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,1.07,3.21,0,0,0,14.98,33.16,0,0,0,0,0,0,0
21Day,1.34,0,0,0,1.34,0,0,0,0,1.34,0,0,0,2.68,14.72,0,0,2.68,0,0,0,0
3Month,0,2.24,0,0.32,0,0.96,0.32,0.64,0,0.32,1.28,0.32,0.32,0,0.64,0,5.76,0,0.64,0.32,7.36,0.32
22Month,0,0,0.55,0.55,0,4.37,0.55,0.55,0,0.55,0,1.09,0,0,1.09,2.73,1.64,0,0,0,0,0
